item_id,item_name,baris_selisih,harga_large_item_prices,medium_conversion_qty,small_conversion_qty,pricing_mode,unit_fo,harga_fo_saat_ini,harga_seharusnya
52449,Terasi,2,8500,1,84,auto,"Pack (medium) x2","8.400 (x2)","8.500 (x2)"
53230,"Thousand Island",2,46620,4,1000,manual,"Kilogram (medium) x2","46.700 (x2)","11.700 (x2)"
54715,"Beef Crispy Belly",1,155405,5,600,manual,"Pack (medium) x1","155.500 (x1)","31.100 (x1)"
54714,"Beef Sei",1,129619,3,1500,manual,"Pack (medium) x1","129.700 (x1)","43.300 (x1)"
52335,"Biji Wijen",1,39300,1,1000,auto,"Kilogram (medium) x1","39.200 (x1)","39.300 (x1)"
52591,"Boba Mangga",1,100900,1,1000,auto,"Kilogram (medium) x1","100.800 (x1)","100.900 (x1)"
52670,"Boba Strawberry",1,100900,1,1000,auto,"Pack (medium) x1","100.800 (x1)","100.900 (x1)"
54717,"Chicken Sei",1,39413,8,4000,manual,"Pack (medium) x1","39.500 (x1)","5.000 (x1)"
52369,"Gula Merah",1,28100,1,1000,auto,"Kilogram (medium) x1","28.000 (x1)","28.100 (x1)"
52656,"Ketumbar Bubuk",1,112100,1,1000,auto,"Kilogram (medium) x1","112.000 (x1)","112.100 (x1)"
52408,"Oyster Sauce",1,123300,1,2200,auto,"Can (medium) x1","123.200 (x1)","123.300 (x1)"
55465,"Placemate Kids Pink",1,240900,1,500,auto,"Pack (medium) x1","240.800 (x1)","240.900 (x1)"
52828,"Plastik Roll Buah 30x45",1,100900,1,1,auto,"Kilogram (small) x1","100.800 (x1)","100.900 (x1)"
54688,"Seasoning Vegetable",1,12679,4,250,manual,"Pack (medium) x1","12.700 (x1)","3.200 (x1)"
52853,"Sticker Doppio",1,13440,1,10,manual,"Pcs (small) x1","13.500 (x1)","1.400 (x1)"
52464,"Syrup Peach",1,123300,1,1000,auto,"Botol (medium) x1","123.200 (x1)","123.300 (x1)"
54700,"Thai Dressing",1,30194,18,500,manual,"Pack (medium) x1","30.200 (x1)","1.700 (x1)"
52821,"Wrapping Burger",1,44900,1,100,auto,"Pack (medium) x1","44.800 (x1)","44.900 (x1)"
