no,item_name,item_id,item_name_db,sku,pricing_mode,availability_price_type,region_id,outlet_id,item_prices_price,suggested_sell_gr_plus_12,cost_large_last,gr_number,gr_receive_date,po_number,po_price,po_unit,price_reason,is_picked_by_resolver
35,"Pasta Fettucine",52419,"Pasta Fettucine",GC-20250620-9854,auto,all,,,24600.00,24600.00,21899.00,GR-20260706-0022,2026-07-06,POF26070184,21899.00,Pack,"Auto GR+12% — HPP large Rp 21.899 dari GR-20260706-0022 (2026-07-06); referensi PO POF26070184 harga beli Rp 21.899/Pack",yes
36,"Pasta Lasagna",52481,"Pasta Lasagna",GC-20250916-5180,auto,all,,,28100.00,28100.00,25070.00,GR-20260708-0023,2026-07-08,POF26070320,25070.00,Pack,"Auto GR+12% — HPP large Rp 25.070 dari GR-20260708-0023 (2026-07-08); referensi PO POF26070320 harga beli Rp 25.070/Pack",yes
37,"Pasta Spaghetti",52420,"Pasta Spaghetti",GC-20260113-8672,auto,all,,,47300.00,47300.00,42180.00,GR-20260708-0017,2026-07-08,POF26070310,42180.00,Pack,"Auto GR+12% — HPP large Rp 42.180 dari GR-20260708-0017 (2026-07-08); referensi PO POF26070310 harga beli Rp 42.180/Pack",yes
38,"Plastik Roll Buah 30x45",52828,"Plastik Roll Buah 30x45",GC-20250620-9824,auto,all,,,100900.00,100900.00,90000.00,GR-20260623-0016,2026-06-23,POF26060976,90000.00,Kilogram,"Auto GR+12% — HPP large Rp 90.000 dari GR-20260623-0016 (2026-06-23); referensi PO POF26060976 harga beli Rp 90.000/Kilogram",yes
39,"Plastik Wrap",52789,"Plastik Wrap",GC-20250620-2423,auto,all,,,220700.00,220700.00,197000.00,GR-20260701-0046,2026-07-01,POF26061358,197000.00,Pack,"Auto GR+12% — HPP large Rp 197.000 dari GR-20260701-0046 (2026-07-01); referensi PO POF26061358 harga beli Rp 197.000/Pack",yes
40,"Salad Bowl",52790,"Salad Bowl",GC-20260321-6380,auto,all,,,54800.00,54800.00,48916.00,GR-20260702-0026,2026-07-02,POF26061437,48916.00,Pack,"Auto GR+12% — HPP large Rp 48.916 dari GR-20260702-0026 (2026-07-02); referensi PO POF26061437 harga beli Rp 48.916/Pack",yes
41,"Sauce Chilli Botol",52537,"Sauce Chilli Botol",GC-20251021-8273,auto,all,,,17400.00,17400.00,15500.00,GR-20260708-0020,2026-07-08,POF26070174,15500.00,Botol,"Auto GR+12% — HPP large Rp 15.500 dari GR-20260708-0020 (2026-07-08); referensi PO POF26070174 harga beli Rp 15.500/Botol",yes
42,"Sauce Cup",52791,"Sauce Cup",GC-20250620-3126,auto,all,,,12100.00,12100.00,10750.00,GR-20260706-0028,2026-07-06,POF26070188,10750.00,Pack,"Auto GR+12% — HPP large Rp 10.750 dari GR-20260706-0028 (2026-07-06); referensi PO POF26070188 harga beli Rp 10.750/Pack",yes
43,"Sauce Cup Dessert",52852,"Sauce Cup Dessert",GC-20250620-4363,auto,all,,,21300.00,21300.00,19000.00,GR-20260706-0028,2026-07-06,POF26070188,19000.00,Pack,"Auto GR+12% — HPP large Rp 19.000 dari GR-20260706-0028 (2026-07-06); referensi PO POF26070188 harga beli Rp 19.000/Pack",yes
44,"Sauce Tomat Botol",52538,"Sauce Tomat Botol",GC-20251021-9672,auto,all,,,11800.00,11800.00,10500.00,GR-20260708-0020,2026-07-08,POF26070174,10500.00,Botol,"Auto GR+12% — HPP large Rp 10.500 dari GR-20260708-0020 (2026-07-08); referensi PO POF26070174 harga beli Rp 10.500/Botol",yes
