no,item_name,item_id,sku,outlet,warehouse,period_from,period_to,report_unit,report_qty,fo_price_stored,cost_implied_fo_div_112,matched_gr_number,matched_gr_date,matched_po_number,matched_po_price,matched_po_unit,matched_hpp_large,matched_sell_large,fo_tanggal_ref,match_method,price_reason
31,"Minyak Klentik",52607,GC-20250729-7377,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Botol,2.000,59400.00,53035.71,GR-20260528-0013,2026-05-28,POF26051244,52501.00,Botol,52501.00,58900.00,2026-06-05,sell_line≈fo_stored,"FO simpan Rp 59.400 = jual +12% dari GR GR-20260528-0013 (2026-05-28), PO POF26051244, beli Rp 52.501/Botol (HPP Rp 52.501). Angka ~53.036 di laporan = FO÷1,12."
32,"Nestea Powder",52404,GC-20250620-8456,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,5.000,72000.00,64285.71,GR-20260602-0034,2026-06-02,POF26051453,64200.00,Pack,64200.00,72000.00,2026-06-02,sell_line≈fo_stored,"FO simpan Rp 72.000 = jual +12% dari GR GR-20260602-0034 (2026-06-02), PO POF26051453, beli Rp 64.200/Pack (HPP Rp 64.200). Angka ~64.286 di laporan = FO÷1,12."
33,"Olive Oil 500Mili liter",52664,GC-20260213-9753,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Botol,2.000,143400.00,128035.71,GR-20260604-0033,2026-06-04,POF26060017,128000.00,Botol,128000.00,143400.00,2026-06-05,sell_line≈fo_stored,"FO simpan Rp 143.400 = jual +12% dari GR GR-20260604-0033 (2026-06-04), PO POF26060017, beli Rp 128.000/Botol (HPP Rp 128.000). Angka ~128.036 di laporan = FO÷1,12."
34,"Oyster Sauce",52408,GC-20250620-2542,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
35,"Pasta Fettucine",52419,GC-20250620-9854,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,3.000,24600.00,21964.29,GR-20260602-0010,2026-06-02,POF26051513,21899.00,Pack,21899.00,24600.00,2026-06-03,sell_line≈fo_stored,"FO simpan Rp 24.600 = jual +12% dari GR GR-20260602-0010 (2026-06-02), PO POF26051513, beli Rp 21.899/Pack (HPP Rp 21.899). Angka ~21.964 di laporan = FO÷1,12."
36,"Pasta Lasagna",52481,GC-20250916-5180,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,6.000,28100.00,25089.29,GR-20260602-0010,2026-06-02,POF26051513,25070.00,Pack,25070.00,28100.00,2026-06-03,sell_line≈fo_stored,"FO simpan Rp 28.100 = jual +12% dari GR GR-20260602-0010 (2026-06-02), PO POF26051513, beli Rp 25.070/Pack (HPP Rp 25.070). Angka ~25.089 di laporan = FO÷1,12."
37,"Pasta Spaghetti",52420,GC-20260113-8672,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,14.000,47300.00,42232.14,GR-20260602-0015,2026-06-02,POF26051461,42180.00,Pack,42180.00,47300.00,2026-06-08,sell_line≈fo_stored,"FO simpan Rp 47.300 = jual +12% dari GR GR-20260602-0015 (2026-06-02), PO POF26051461, beli Rp 42.180/Pack (HPP Rp 42.180). Angka ~42.232 di laporan = FO÷1,12."
38,"Plastik Roll Buah 30x45",52828,GC-20250620-9824,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
39,"Plastik Wrap",52789,GC-20250620-2423,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,1.000,220700.00,197053.57,GR-20260530-0010,2026-05-30,POF26051474,197000.00,Pack,197000.00,220700.00,2026-06-04,sell_line≈fo_stored,"FO simpan Rp 220.700 = jual +12% dari GR GR-20260530-0010 (2026-05-30), PO POF26051474, beli Rp 197.000/Pack (HPP Rp 197.000). Angka ~197.054 di laporan = FO÷1,12."
40,"Salad Bowl",52790,GC-20260321-6380,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,4.000,54800.00,48928.57,,,,,,,,2026-06-10,not_found,"FO Rp 54.800 belum cocok ke GR pusat ≤ 2026-06-10"
