line_id,item_id,item_name,tanggal,order_number,status,outlet,unit,unit_tier,qty,current_price,expected_price,diff,price_large,medium_conv,small_conv,pricing_mode
12490465,54667,"Barbeque Sauce",2026-06-17,RO-20260617-BDC2,packing,"Melt Steak d'Botanica",Pack,medium,3,29700,7500,22200,29638,4,500,manual
12487302,54667,"Barbeque Sauce",2026-06-17,RO-20260617-438F,packing,"JUSTUS BEC",Pack,medium,4,29700,7500,22200,29638,4,500,manual
12496389,54667,"Barbeque Sauce",2026-06-17,RO-20260617-53B8,packing,"Justus Steakhouse The Barn",Pack,medium,15,29700,7500,22200,29638,4,500,manual
12506870,54667,"Barbeque Sauce",2026-06-17,RO-20260617-5F3B,packing,"Justus Steak House Jawa",Pack,medium,2,29700,7500,22200,29638,4,500,manual
12487839,54667,"Barbeque Sauce",2026-06-17,RO-20260617-233D,packing,"JUSTUS FCL",Pack,medium,5,29700,7500,22200,29638,4,500,manual
12505741,54667,"Barbeque Sauce",2026-06-17,RO-20260617-7B82,packing,"Justus Steak House Miko Mall",Pack,medium,4,29700,7500,22200,29638,4,500,manual
12510449,54667,"Barbeque Sauce",2026-06-17,RO-20260618-E637,packing,"Justus Steak House Paris Van Java",Pack,medium,4,29700,7500,22200,29638,4,500,manual
12508684,54667,"Barbeque Sauce",2026-06-17,RO-20260617-604A,packing,"Justus Steak House Metro Indah Mall",Pack,medium,4,29700,7500,22200,29638,4,500,manual
12509225,54667,"Barbeque Sauce",2026-06-17,RO-20260617-1FA2,packing,"Justus Steak House Cimanuk",Pack,medium,3,29700,7500,22200,29638,4,500,manual
12532469,54667,"Barbeque Sauce",2026-06-18,RO-20260618-8B1B,packing,"Justus Steak House Festival Citylink",Pack,medium,6,29700,7500,22200,29638,4,500,manual
12547781,54667,"Barbeque Sauce",2026-06-18,RO-20260618-C27F,packing,"Justus Steak House Jawa",Pack,medium,3,29700,7500,22200,29638,4,500,manual
12552831,54667,"Barbeque Sauce",2026-06-18,RO-20260618-3425,packing,"Justus Steak House Ciwalk",Pack,medium,6,29700,7500,22200,29638,4,500,manual
12571829,54667,"Barbeque Sauce",2026-06-18,RO-20260618-06E7,packing,"Justus Steak House Dago",Pack,medium,12,29700,7500,22200,29638,4,500,manual
12536704,54667,"Barbeque Sauce",2026-06-18,RO-20260618-453E,packing,"Melt Steak d'Botanica",Pack,medium,2,29700,7500,22200,29638,4,500,manual
12559788,54667,"Barbeque Sauce",2026-06-18,RO-20260618-EEBA,packing,"Justus Steak House Cimanuk",Pack,medium,4,29700,7500,22200,29638,4,500,manual
12549813,54667,"Barbeque Sauce",2026-06-18,RO-20260618-5FE4,packing,"JUSTUS BEC",Pack,medium,5,29700,7500,22200,29638,4,500,manual
12537005,54667,"Barbeque Sauce",2026-06-18,RO-20260618-0773,packing,"Justus Steak House Miko Mall",Pack,medium,4,29700,7500,22200,29638,4,500,manual
12554448,54667,"Barbeque Sauce",2026-06-18,RO-20260618-52E7,packing,"Justus Steak House Paris Van Java",Pack,medium,14,29700,7500,22200,29638,4,500,manual
12520164,54667,"Barbeque Sauce",2026-06-18,RO-20260618-5405,packing,"Justus Steak House Dago",Pack,medium,10,29700,7500,22200,29638,4,500,manual
12542891,54667,"Barbeque Sauce",2026-06-18,RO-20260618-06C0,packing,"JUSTUS BIP",Pack,medium,2,29700,7500,22200,29638,4,500,manual
12572205,54667,"Barbeque Sauce",2026-06-18,RO-20260618-92A2,packing,"Justus Steak House Buah Batu",Pack,medium,10,29700,7500,22200,29638,4,500,manual
12542759,54667,"Barbeque Sauce",2026-06-18,RO-20260618-9242,packing,"Justus Steak House Metro Indah Mall",Pack,medium,4,29700,7500,22200,29638,4,500,manual
12575484,54667,"Barbeque Sauce",2026-06-18,RO-20260619-63A0,packing,"Justus Steak House Lebak Bulus",Pack,medium,12,29700,7500,22200,29638,4,500,manual
12556702,54667,"Barbeque Sauce",2026-06-18,RO-20260618-5F99,packing,"Justus Steak House Paskal 23",Pack,medium,8,29700,7500,22200,29638,4,500,manual
12563529,54667,"Barbeque Sauce",2026-06-18,RO-20260618-9B4E,packing,"Justus Steak House Cipete",Pack,medium,19,29700,7500,22200,29638,4,500,manual
12522577,54667,"Barbeque Sauce",2026-06-18,RO-20260618-8E79,approved,"Justus Steak House Ciwalk",Pack,medium,4,29700,7500,22200,29638,4,500,manual
12538433,54667,"Barbeque Sauce",2026-06-18,RO-20260618-9D9D,packing,"JUSTUS FCL",Pack,medium,5,29700,7500,22200,29638,4,500,manual
12522949,54667,"Barbeque Sauce",2026-06-18,RO-20260618-9171,packing,"Justus Steak House Cimanuk",Pack,medium,2,29700,7500,22200,29638,4,500,manual
12225215,52331,"Bawang Goreng",2026-06-12,RO-20260613-8063,packing,"Justus Steakhouse The Barn",Pack,medium,1,61600,61700,-100,61700,1,500,auto
12174830,52331,"Bawang Goreng",2026-06-12,RO-20260612-0F70,packing,"Justus Steakhouse SMB",Pack,medium,1,61600,61700,-100,61700,1,500,auto
12436936,52331,"Bawang Goreng",2026-06-16,RO-20260616-F244,packing,"Justus Steak House Jawa",Pack,medium,1,61600,61700,-100,61700,1,500,auto
12170942,54706,"Beef Chuck Short Ribs Dice",2026-06-12,RO-20260612-0DD8,packing,"Justus Steak House Cimanuk",Pack,small,3,58200,3100,55100,58189,19,1,manual
12171331,54706,"Beef Chuck Short Ribs Dice",2026-06-12,RO-20260612-958F,packing,"Justus Steakhouse Ampera - Kemang",Pack,small,5,58200,3100,55100,58189,19,1,manual
12165967,54706,"Beef Chuck Short Ribs Dice",2026-06-12,RO-20260612-9E90,packing,"Justus Steak House Cipete",Pack,small,5,58200,3100,55100,58189,19,1,manual
12507711,54706,"Beef Chuck Short Ribs Dice",2026-06-17,RO-20260617-F35F,packing,"Tempayan Citarum",Pack,small,5,58200,3100,55100,58189,19,1,manual
12510457,54706,"Beef Chuck Short Ribs Dice",2026-06-17,RO-20260618-E637,packing,"Justus Steak House Paris Van Java",Pack,small,2,58200,3100,55100,58189,19,1,manual
12508592,54706,"Beef Chuck Short Ribs Dice",2026-06-17,RO-20260617-22B6,packing,"Justus Steak House Buah Batu",Pack,small,5,58200,3100,55100,58189,19,1,manual
12519660,54706,"Beef Chuck Short Ribs Dice",2026-06-17,RO-20260618-59A7,packing,"Justus Steak House Alam Sutera",Pack,small,5,58200,3100,55100,58189,19,1,manual
12497647,54706,"Beef Chuck Short Ribs Dice",2026-06-17,RO-20260617-C7B1,packing,"Justus Steak House Paskal 23",Pack,small,10,58200,3100,55100,58189,19,1,manual
12505751,54706,"Beef Chuck Short Ribs Dice",2026-06-17,RO-20260617-7B82,packing,"Justus Steak House Miko Mall",Pack,small,2,58200,3100,55100,58189,19,1,manual
12490423,54706,"Beef Chuck Short Ribs Dice",2026-06-17,RO-20260617-2C87,packing,"Justus Steak House Festival Citylink",Pack,small,2,58200,3100,55100,58189,19,1,manual
12511870,54706,"Beef Chuck Short Ribs Dice",2026-06-17,RO-20260617-3F63,packing,"Justus Steak House Bintaro",Pack,small,10,58200,3100,55100,58189,19,1,manual
12506878,54706,"Beef Chuck Short Ribs Dice",2026-06-17,RO-20260617-5F3B,packing,"Justus Steak House Jawa",Pack,small,3,58200,3100,55100,58189,19,1,manual
12508691,54706,"Beef Chuck Short Ribs Dice",2026-06-17,RO-20260617-604A,packing,"Justus Steak House Metro Indah Mall",Pack,small,1,58200,3100,55100,58189,19,1,manual
12496407,54706,"Beef Chuck Short Ribs Dice",2026-06-17,RO-20260617-53B8,packing,"Justus Steakhouse The Barn",Pack,small,8,58200,3100,55100,58189,19,1,manual
12547795,54706,"Beef Chuck Short Ribs Dice",2026-06-18,RO-20260618-C27F,packing,"Justus Steak House Jawa",Pack,small,3,58200,3100,55100,58189,19,1,manual
12572219,54706,"Beef Chuck Short Ribs Dice",2026-06-18,RO-20260618-92A2,packing,"Justus Steak House Buah Batu",Pack,small,10,58200,3100,55100,58189,19,1,manual
12554460,54706,"Beef Chuck Short Ribs Dice",2026-06-18,RO-20260618-52E7,packing,"Justus Steak House Paris Van Java",Pack,small,3,58200,3100,55100,58189,19,1,manual
12563545,54706,"Beef Chuck Short Ribs Dice",2026-06-18,RO-20260618-9B4E,packing,"Justus Steak House Cipete",Pack,small,5,58200,3100,55100,58189,19,1,manual
12522588,54706,"Beef Chuck Short Ribs Dice",2026-06-18,RO-20260618-8E79,approved,"Justus Steak House Ciwalk",Pack,small,3,58200,3100,55100,58189,19,1,manual
12552844,54706,"Beef Chuck Short Ribs Dice",2026-06-18,RO-20260618-3425,packing,"Justus Steak House Ciwalk",Pack,small,4,58200,3100,55100,58189,19,1,manual
12537015,54706,"Beef Chuck Short Ribs Dice",2026-06-18,RO-20260618-0773,packing,"Justus Steak House Miko Mall",Pack,small,3,58200,3100,55100,58189,19,1,manual
12542334,54706,"Beef Chuck Short Ribs Dice",2026-06-18,RO-20260618-688B,packing,"Tempayan Citarum",Pack,small,5,58200,3100,55100,58189,19,1,manual
12575499,54706,"Beef Chuck Short Ribs Dice",2026-06-18,RO-20260619-63A0,packing,"Justus Steak House Lebak Bulus",Pack,small,4,58200,3100,55100,58189,19,1,manual
12559794,54706,"Beef Chuck Short Ribs Dice",2026-06-18,RO-20260618-EEBA,packing,"Justus Steak House Cimanuk",Pack,small,2,58200,3100,55100,58189,19,1,manual
12542767,54706,"Beef Chuck Short Ribs Dice",2026-06-18,RO-20260618-9242,packing,"Justus Steak House Metro Indah Mall",Pack,small,1,58200,3100,55100,58189,19,1,manual
12532481,54706,"Beef Chuck Short Ribs Dice",2026-06-18,RO-20260618-8B1B,packing,"Justus Steak House Festival Citylink",Pack,small,5,58200,3100,55100,58189,19,1,manual
12175079,54715,"Beef Crispy Belly",2026-06-12,RO-20260612-49D8,packing,"Justus Steak House Ciwalk",Pack,medium,1,155500,31100,124400,155405,5,600,manual
12171332,54707,"Beef Oxtail",2026-06-12,RO-20260612-958F,packing,"Justus Steakhouse Ampera - Kemang",Pack,small,10,83900,4700,79200,83853,18,1,manual
12174874,54707,"Beef Oxtail",2026-06-12,RO-20260612-0F70,packing,"Justus Steakhouse SMB",Pack,small,3,83900,4700,79200,83853,18,1,manual
12165968,54707,"Beef Oxtail",2026-06-12,RO-20260612-9E90,packing,"Justus Steak House Cipete",Pack,small,1,83900,4700,79200,83853,18,1,manual
12511871,54707,"Beef Oxtail",2026-06-17,RO-20260617-3F63,packing,"Justus Steak House Bintaro",Pack,small,8,83900,4700,79200,83853,18,1,manual
12496408,54707,"Beef Oxtail",2026-06-17,RO-20260617-53B8,packing,"Justus Steakhouse The Barn",Pack,small,3,83900,4700,79200,83853,18,1,manual
12507712,54707,"Beef Oxtail",2026-06-17,RO-20260617-F35F,packing,"Tempayan Citarum",Pack,small,15,83900,4700,79200,83853,18,1,manual
12519661,54707,"Beef Oxtail",2026-06-17,RO-20260618-59A7,packing,"Justus Steak House Alam Sutera",Pack,small,6,83900,4700,79200,83853,18,1,manual
12575500,54707,"Beef Oxtail",2026-06-18,RO-20260619-63A0,packing,"Justus Steak House Lebak Bulus",Pack,small,2,83900,4700,79200,83853,18,1,manual
12547796,54707,"Beef Oxtail",2026-06-18,RO-20260618-C27F,packing,"Justus Steak House Jawa",Pack,small,2,83900,4700,79200,83853,18,1,manual
12572220,54707,"Beef Oxtail",2026-06-18,RO-20260618-92A2,packing,"Justus Steak House Buah Batu",Pack,small,5,83900,4700,79200,83853,18,1,manual
12563546,54707,"Beef Oxtail",2026-06-18,RO-20260618-9B4E,packing,"Justus Steak House Cipete",Pack,small,2,83900,4700,79200,83853,18,1,manual
12542335,54707,"Beef Oxtail",2026-06-18,RO-20260618-688B,packing,"Tempayan Citarum",Pack,small,15,83900,4700,79200,83853,18,1,manual
12178088,54708,"Beef Patty",2026-06-12,RO-20260612-FF29,packing,"ASIAN GRILL BIP",Pcs,small,15,200,9300,-9100,675587,73,1,manual
12196938,54708,"Beef Patty",2026-06-12,RO-20260612-7B44,packing,"Justus Steak House Buah Batu",Pcs,small,15,200,9300,-9100,675587,73,1,manual
12177974,54708,"Beef Patty",2026-06-12,RO-20260612-63EB,packing,"Melt Steak d'Botanica",Pcs,small,5,200,9300,-9100,675587,73,1,manual
12178552,54708,"Beef Patty",2026-06-12,RO-20260612-2633,packing,"JUSTUS BIP",Pcs,small,15,200,9300,-9100,675587,73,1,manual
12225294,54708,"Beef Patty",2026-06-12,RO-20260613-8063,packing,"Justus Steakhouse The Barn",Pcs,small,30,200,9300,-9100,675587,73,1,manual
12199054,54708,"Beef Patty",2026-06-12,RO-20260612-342A,packing,"Justus Steak House Paris Van Java",Pcs,small,10,200,9300,-9100,675587,73,1,manual
12222325,54708,"Beef Patty",2026-06-12,RO-20260612-2207,packing,"Justus Steak House Alam Sutera",Pcs,small,10,200,9300,-9100,675587,73,1,manual
12204464,54708,"Beef Patty",2026-06-12,RO-20260612-68B5,packing,"Justus Steak House Paskal 23",Pcs,small,10,200,9300,-9100,675587,73,1,manual
